Id;Description;Metier_Reel;Metier_Predit;Pred_Correct
1422; she was born in erechim rio grande do sul brazil on april 11 1981 both of her parents are of italian and polish descent she was just eight years when she decided that she wanted to be a model after seeing a picture of top cover girl karen mulder in a magazine at age 11 she had a cosmetic surgery to get her ears pinned back because she was always insecure of her large ears though two years later she suffered complications and it discourages her from getting plastic surgery again as an early teen she enrolled at a modeling class and subsequently was entered into an elite modeling competition in brazil and was offered an elite contract after a year;1;1;1
1509; wanda nara is well known for being a model and a virgin but this sextape shows that she can suck the chrome of a trail hitch this is an absolute must see watch preview;1;1;1
1512; believe or not her breasts are completely natural and she believes that its her mission in life to use her giant juggs to make men happy her breasts have been pleasing men and women for over a decade and it seems that theyll continue to bring smiles to faces;1;1;1
1720; she works hard on her figure and on her image and has become a celebrity in her native taiwan she is in demand by photographers and works closely with her sponsor catfish latex to her her dressing up is about beauty and the quality of her photos;1;1;1
1926; but since last year his name erupted around the blogosphere about his nude photos manila gay guy a blog with collections of descent hunks photos made a conclusion that the dave rebolledo nude photos are fake others on the other hand viewed that it was real;1;20;0
2029; she is 55 and 110 pounds with a wicked 342435 body that she shows off in striptease content she has a fantastic pair of tits and a pretty nice ass as well with her feminine figure lovely face and sexy smile she could make a pornlover horny;1;1;1
2037; vidyut jamwal has developed his own unique style which is an amalgamation of kalari gymnastics kung fu weapon usage and jiujitsu read more  actor character chandru;1;20;0
2193; originally from connecticut raia is a lithe hot brunette who has been in playboy she has done other glamor lingerie bikini and fashion modeling as well but playboy is playboy read she was naked;1;1;1
2402; she has appeared in magazines like fhm and loaded and she even secured a topfive position in fhms 2005 list of the 100 sexiest women in the world but kelly also has a career in acting she has made television and film appearances in smallville 2002 the italian job 2003 and deuce bigalow european gigolo 2005 kelly was formerly linked to actionfilm star jason statham but she is currently engaged to actor billy zane;1;1;1
2531; this 4th grader is eager to learn new information and is the type of student who is always willing to lend a helping hadnd to her peers when they have academic challenges she consistently exceeds academic expectations and her pleasant demeanor allows her to get along effortlessly with her fellow classmates;1;3;0
3674; she has worked with such legendary actors as gary sinise mare winnengham matt lucas and bill murray her onscreen talents are one thing while her looks are another but its next to impossible not to notice that ;1;1;1
3810; though she is above 40 nadine has managed to retain a hot figure even as she maintains a job as a personal trainer she still does nude photo shoots for some internet web sites her unique ethnic makeup that features filipino irish and navajo indian roots has resulted in a very strong yet still feminine look;1;1;1
3908; find her books  a case for prayer in public schools abcs of nutritious cooking how to grow an emergency garden and healthy wealthy  wise lifeaffirming scriptures  on amazon find her on facebook and twitter  previous;1;6;0
3949; a quick glance through her portfolio explains why she is stunning skilled in front of the camera and a pleasure to work with  the type of model that fashion;1;20;0
3982; ginzburg has also modeled for brands like tommy hilfigerburberry fcuk pull and bear and castro she made her acting debut in the 2010 joel schumacher film twelve and was recently married to the real estate investor adi keizman;1;1;1
4491; she has appeared on the cover of amica in italy and has walked the catwalk for john richmond krizia parah and philipp plein she has also done advertising campaigns for lafty lie parah and stuart weitzman this dark blonde haired and blue eyed model is one of the hottest russian girls around at the moment nastya kunskaya has been selected as the daily babe on running wolfs rant for the 3rd of may 2012;1;1;1
4611; gladys impact in holyoke has been driven by her commitment to youth employment education parent engagement antiracism and lgbt rights she recognizes the strengths and weaknesses of the city of holyoke and has been a fierce advocate and representative of transforming dreams into reality for over thirty years she is respected for her dedication to bringing the voice of the community to the decisionmaking table;1;6;0
5628; conference presentations will discuss topics including the growing power and influence of the european union eu institutions in health promotion public health and higher education especially following recent enlargement the experience of the european training consortium in public health and health promotion and european masters in health promotion training initiatives will also be addressed;1;19;0
5908; during that time she modelled for africa fashion international launch show and south africa fashion week 2010 she also did a fashion spread for south african magazines true love and destiny magazine she has appeared on several occasions in british publications pride magazine black beauty and hair magazine and black hair magazine;1;1;1
6249; her hands have been seen in magazines and movies world wide modeling the most sensual moments when lovers fingers intertwine she and her hands live a quiet life of beauty rest manicures and exercise on occasion she receives letters from admirers who wish just once to see her hands with their very own eyes they wish to take her long tapered fingers and kiss them one by one but nin is a married woman married to the persian man who invented magic fingers those electric hotel beds that appear only in select hotel rooms whenever nin and her husband cant turn each other on they turn on their bedsor is this sarah bio note;1;1;1
6391; she is best known as a victorias secret angel and was admired as a great runway model she was born to pakistani moin ghauri and german linda ghauri while her father was an imam a muslim cleric for the islamic community of quebec her mother was opposed of her pursuing modelling as a career;1;1;1
6457; she is open about her addiction experiences and early in her recovery process expressed a desire to become a substance abuse counselor she moved to the st louis area and began to organize recovery support groups at one of the local churches as well as pursue her goal of becoming a substance abuse counselor currently shelly is a counselor with the gateway foundation in st louis shelly also served as an instructor for committed caring faith communities advanced addictions academy for faith leaders she continues to share her personal testimony and expertise and helps faith leaders learn to work with people who are reentering the community after being incarcerated for drugrelated offenses;1;22;0
6912; very hyped on lookbook and recently in the dublin fashion festival she does a mixture of both photography and modeling so check out her interview;1;20;0
7330; the authenticity of her curves are definitely in question because they are simply out of this world but kathy ferreiro is repping cubanas from miami like no other;1;1;1
7673; the star was born in february 1985 in japan she made her debut in modeling in 2003 when her first photobooks were out rio has become quite known thanks to her sexy looks and her huge natural bust;1;1;1
7713; she has been seen in numerous commercials most notably in an ad for aperol that pays homage to the film coyote ugly which starred fellow model tyra banks marta has graced numerous italian runways and has an ongoing relationship with italian soccer player luca toni marta cecchetto quote;1;1;1
7728; hes served 6 years on the north texas sql server user group board and is the current president sri has presided over and planned multiple sql server events with an absolutely fierce attention to detail and quality and campaigned heavily to get sqlrally 2012 at dallas he is focused on reshaping pass to have better twoway involvement and communication with the local groups good;1;24;0
8172; the singer is so obsessed that he admits to requesting a table backstage at every concert so he can continue work on his miniature railway before and after shows that is dedication xfinity entertainment staff photo ethan millergetty images the opinions expressed are solely those of the author and do not necessarily reflect the views of comcast;1;20;0
8272; she is famous for appearing in the playboy magazine being featured as the playmate of the month  january 2007 issue in addition she is also famous for being labeled as the 2008 playmate of the year in the june at the age of six she was already seen modeling for catalogs and was already gracing the runways for several fashion shows her modeling career started to boom when she was 15 years old and was discovered by an agent from a modeling agency in toronto since then she was seen appearing on various fashion shows and magazines and because she was once brody jenners girlfriend she was also seen appearing on the tv series the hills in some of its episodes;1;1;1
8841; she has been on tv shows such as entourage doc and witchblade the comeback as well as had movie roles in harold  kumar go to white castle heartbreak kid and watchmen;1;1;1
8871; photographed by fashion photographer toby knott the model poses for a series of sugary sweet images her innocence really shine through as she dons feathery headpieces and flowing skirts all styled by martha ward;1;20;0
8973; she is perhaps best known for her work with the brand est̩e lauder and her 2009 2010 and 2011 appearances in the sports illustrated swimsuit issue 8 alessandra ambrosio 5m;1;1;1
9120; she is more famously known by her nickname nat nat was born on 6 feb 1975 in switzerland to a thai mother jinda tengmeesri and a swissitalian father;1;1;1
9394; sarah also currently hosts her own meetup group where she plansorganizes group photoshoots and workshops these events are intended to assist new or beginning photographers and models alike in a structured and welcoming environment;1;20;0
9514; its been decades since browns first opry appearance and her stint as banjo player for bluegrasspop hit machine union station in the meantime shes explored jazz occasionally switching to guitar but its her forays into bluegrass and celtic music that shine brightest the grammy winner  for a collaboration with b̩la fleck a somewhat funkier kindred soul  brings her quartet to the ogle center on the ius campus thursday onstage brown fuses progressive sounds with sweet traditions offstage shes been a progressive force in a conservative industry early on she took advantage of her experience from a day job in finance to lay a solid foundation for her own label years later compass records is still finding and fostering americanawithsomethingextra talent te lyons;1;6;0
9555; she always ends up in the hands of cruel designers and photographersat least thats what she tells herself its better than admitting her own failure desperate she would do anything to help her careereven go along with the pretense dylan suggests;1;3;0
9609; she was featured in v magazines curves ahead editorial in the january 2010 issue also featured in this super hot editorial was tara lynn michalle olson candice huffine and kasia p;1;1;1
9983; she was born on 12th june 1981 during her schooling age she started modeling at the age of 15 adriana did modeling for fords where she wined the tag as the supermodel of brazil next on the year 1996 with the same modeling agency she won ford supermodel of the world in adriana career as a professional supermodel she worked for elite model management vogue gq  marie claire as a runway model she did gorgeous works for many fashion shows in 2000 adriana started her career with victorias secret she attained many opening shows at victorias secret for the years 2003 2007 2008  2010;1;1;1
238; when not she is not on the mat she can be found at her other job which is teaching children how to do needlework in her spare time she enjoys photography;2;6;0
1013; she encourages selfinquiry and breathing awareness in a gentle transformative practice sarah has an eye for subtle alignment and sensitively modifies poses according to individual needs she has taught gentle yoga for health and healing at the womens cancer resource center in oakland for the past 25 years she also teaches healing yoga at 4th street yoga in berkeley sarah is excited to create a nurturing new yoga class at cpmc;2;2;1
3037; additionally she is a holistic health practitioner yoga historian laughter yoga leader and spiritual seeker she can be found at wwwhathayogawitherincom;2;2;1
4148; she did two trainings through yogaworks nationally recognized teacher training program and is registered with yoga alliance at the ryt500 level in january 2012 gwen met jill miller at a yoga tune up workshop and found a teacher with whom she was very much spiritually and philosophically aligned gwen traveled across the country the following month to complete the yoga tune up teacher training with jill at kripalu she is thrilled to now be a licensed yoga tune up teacher conducting classes at equinox in woodland hills as well as with her private clients see gwens schedule at wwwgwenyeagercom;2;2;1
5492; after observing her own dogs clear reluctance to return to the city after a weekend in the country she resolved to find a way to let city dogs experience their natural environment even if for only three days at a time camp unleashed in the berkshires was born and had its first successful session in 2004;2;6;0
6399; she completed her initial yoga alliance teacher training under the guidance of certified teachers in the styles of ashtanga anusara and iyengar she is certified in all three programs from the chopra center of wellbeing in carlsbad ca including primordial sound meditation perfect health ayurvedic lifestyle program and the seven spiritual laws of yoga;2;2;1
6529; joey regularly teaches soulful vinyasa flow classes in southern california ms soto currently teaches at yogaco conducts private classes throughout los angeles and has previously taught at homesimplyyoga and volunteered at crossroads high school in addition to teaching yoga joey has been a leader in environmental issues over the last decade through her work as a water resources consultant and community philanthropist joey leads workshops on letting go fundraisers for nonprofits such as the thirstproject and firmly believes in creating a global community through sharing yoga with other cultures ms soto holds a ms in environmental policy and planning from california state university fullerton and ba in environmental studies from uc santa barbara joey is a national yoga alliance certified yoga instructor;2;2;1
7426; she has been practicing yoga since 2001 and has been teaching yoga since 2007 michelle loves variety which is reflected in her teaching style whether she is teaching a gentle hatha format or a mens yoga class michelle has a deep appreciation for the yoga pathhow it meanders here and there but has always led to her personal growth as an instructor as a mother wife and friend and in every relationship michelle loves all aspects of yoga especially teaching a love which she hopes shines through in her classes;2;2;1
7576; she completed anusara teacher training levels 1 and 2 and is looking forward to additional philosophy immersions soon additional trainings include yoga for two the barnes method prenatal om shree om anusara yoga for kids and a pilates mat certificate from physical mind nyc she studies with certified anusara instructors ross rayburn zhenja larosa bernadette birney sianna sherman todd norian and john friend;2;3;0
9011; she is the cofounder of the tantric mama and a qualified doula birth support who specialises in prenatal  fertility yoga since 2009 she has focused primarily on studying tantra and sacred femininity and sharing her yoga and femininity workshops and womens circles in thailand india australia and the usa rosie has been a bliss baby facilitator for the last two years having completed the full bliss baby 100 hour rpyt registered prenatal yoga teacher training rosies teaching style is soft utterly feminine and gently insightful and she is passionate about inspiring and nurturing the divine essence in all women course prerequisites;2;2;1
9809; debbie focuses her years of training on how yoga can heal the body through a therapeutic approach to injuries and chronic illnesses she supports the development of her students own awakening of bodymind awareness through poses breath meditation and relaxation debbie is a senior teacher at the yoga center of columbia;2;2;1
154; teaching history to a range of students she becomes an immensely popular teacher with her students the headmistress and most of the staff just one problem for kat the weekend before she started her new job she met a young woman at a gay bar in town and ended up kissing her what a shock to find this young woman freya is a pupil in her alevel history class not wanting to overstep her mark as a teacher kat does everything she can to keep all dealings professional but this is hard given how attracted to her she is add into the story two exuberant flatmates and their boyfriends who just want to see kat happy and enjoying life and this becomes a book that is easy to believe and to read lm;3;3;1
214; her blog is full of great ideas for the classroom as well as links to other useful resources such as videos web sites and more readers are sure to find ideas here for how to make learning languages fun;3;3;1
438; she studied teacher education at csu sacramento and uc davis she completed her ma in education at uc davis while researching about science inquiry and teaching handson projects and also substituting kindergarten to fifth grade leana enjoys baking cookies bicycling reading playing accordion and practicing chinese she has also traveled to various states vancouver china and japan;3;3;1
522; convinced that his students have potential he adopts unconventional teaching methods help gang members and nohopers pass the rigorous advanced placement exam in calculus written by murray chapman muzzlecsuqozau;3;3;1
534; at the age of 12 sri chinmoy moved to the sri aurobindo ashram where he practised meditation and other spiritual disciplines at the age of 32 sri chinmoy travelled to new york to share the spiritual traditions of india sri chinmoy is a keen musician composing many 1000s of songs in english and his native bengali sri chinmoy himself performs on many musical instruments and has performed at over 700 free meditative concerts around the world;3;25;0
695; he started his career in inner city nyc in a failing school he met his wife in the spring of 2005 and together they moved to london england where david taught in a small private school which was davids first exposure to the international baccalaureate curriculum london was too expensive even compared to nyc so after 2 more years they moved on to bangkok thailand where david taught for 2 years during these two years david both coauthored a textbook for ib mathematics and started his masters degree in educational technology through ubcs online program he is now back in vancouver canada working at stratford hall as a learning specialist in technology he blogs regularly at httpdavidweescom;3;3;1
710; combs elementary and when a student recently came to her saying that she no longer felt safe at school due to some students threatening and bullying her ritchie reported the case thats when police arrived at the school to talk to the students about bullying and the consequences of their actions;3;3;1
903; rosies passion for art and for learning is contagious she is fun to work with an inspiration to others and her tireless effort to make things better for students their learning memorable and fun rosie riordan is an outstanding teacher rosie would be an outstanding teacher in any curricular area georgia a smith colleague at sunflower elementary school;3;3;1
915; she maintains a private practice in pittsburgh pa her practice includes musicians instrumentalists vocalists conductors actors artists psychologists computer and business professionals and people with pain issues lisas experience as a violinist greatly colors her teaching particularly when working with other musicians she collaborates in workshops and clinics throughout the greater pittsburgh and the tristate area and teaches alexander technique at the conservatory of performing arts at point park university the school of drama at carnegie mellon university and the upmc center for integrative medicine;3;3;1
949; this is a photo of her four children she says because of the low teacher pay she has become a budgeter but she says the greatest frustration for her as a teacher is not feeling valued or appreciated;3;3;1
989; allen attended western washington university where she earned a bachelors of arts in music and then continued to earn a masters degree in teaching she began her teaching career in everett where she was director of bands at cascade high school for three years allen then moved to renton and has been teaching elementary music she has taught at many music camps she also provides private lessons and occasionally performs in the area allen has been teaching in renton for six years;3;3;1
1003; he was born in moknine in 1948 he obtained a state doctorate in arab literatures from the tunisian university in 1987 he taught in the department of arabic language in the faculty of arts in king saud university he also worked as a director of institut bourguiba des langues vivantes in tunis bourguiba institute of modern languages a general secretary of the national committee unesco alecso and isesco and a dean of the faculty of arts and humanities of kairouan;3;19;0
1301; he recently had one leg amputated below the knee due to a rare and especially dangerous form of cancer discovered in his foot but he completed a triathlon just nine months after the surgery so he should be up to snuff for survivor chris daugherty is a 33yearold highway construction worker from south veinna ohio not much else to say here right now;3;8;0
1319; mark met rod at the iste 2010 conference in denver where both were presenting rod has distinguished himself in teaching the stock market and numerous other aspects of business and economics by developing creative ways to make these subjects come alive for todays middle school students an area of particular interest in rods work is his use of research into student engagement which he applies to the teaching of financial literacy continuing the global conversation about personal financial literacy for educators on talking financial literacy podcast resources and articles mentioned rods class website;3;19;0
1380; she can be reached at practically parenting friends  neighbors amarillo globenews po box 2091 amarillo tx 79166 or email her at colemanarnnet ;3;6;0
1415; he currently teaches algebra 1 precalculus college algebra and college statistics he has used technology in his classroom in a variety of ways most recently being the flipped precalculus classroom that he created with his copresenter jeff merrill ron has a bachelor of arts from muskingum university a masters of science in education from the franciscan university of steubenville and is currently working on his edd in educational administration and policy from ohio university he lives in steubenville with his wife janice and has a son michael and daughter nicole both of whom are engineering students at the university of akron;3;19;0
1668; he was attracted to the ancient art and science of astrology as well as mediation while becoming a practitioner of these arts he also became involved in the rosicrucian mystery schools and read more from dr mayer eisenstein  bob ayers the health show091410;3;11;0
1757; she obtained her phd in english studies in 2008 her main research interests include content and language integrated learning clil computer assisted language learning call and taskbased language teaching tblt;3;19;0
2053; she has taught in dual immersion programs bilingual classrooms title one bilingual support in reading and math and as an eld teacher lori is the author of 26 titles of integrated thematic units in english and spanish for kingsley publishing and has also written a series of reproducible math games in english and spanish lori has also authored a variety of english language development esl and reading products ms wolfe has presented at numerous conferences including nctm national convention nabe tabe cabe spotlight on eld workshops or  ca she presents a variety of workshops that cover math centers thematic teaching systematic eld and reading all with a focus on teaching second language learners ask seller a question;3;3;1
2350; mayo for her doctoral studies she is investigating the significance of interconnecting branching networks of communication for educational enquiry using multimedia forms of technology;3;19;0
2798; he was washington states teacher of the year and was recently honored by president barack obama as national teacher of the year because of his innovative focus and teaching success in math and science he is a national board certified stem teacher and created a statewide robotics competition in which nearly 1000 students have participated;3;3;1
2819; she is a literacyschool learning centered classroom teacher who welcomes educators in to observe check out her k classroom blog at httpteamjellybeanposterouscom;3;3;1
2841; she is a writer and recording artist whose voice has been featured not only on radio and television but also in backing vocals with ray charles and etta james she is the mother of will who has autism;3;6;0
2887; she had been blogging since 2004 and many of her postings were about her job according to court records when she was demoted from her position as a coach at the school she wrote the following missive;3;3;1
2934; starting out playing his college ball at the university of arizona this gave him the passion to turn to coaching he first began coaching as an assistant at marquette university from 8994 then assistant at university of tennessee from 9496;3;19;0
3011; she writes for the childrens book section dr gray has taught students at all levels between grammar school through graduate school in her spare time she writes mathematics materials and likes to walk in the woods near her ohio home and play with her delightful grandchildren;3;3;1
3136; he has degrees in finance and economics and in his spare time loves learning everything on the planet from math coding and economics to music photography and more catch him on twitter at pasanpr;3;20;0
3230; he graduated from columbia university teachers college in 2012 he taught japanese language and culture to college students in vladivostok russia on a japanese governmental teacher exchange program in 1999 and spent one and a half years enjoying himself and living in a different culture since then he has worked on the exchange of new years and christmas cards with japanese high school students and russian college students he would like to continue this program and develop other international understanding programs he would like to contribute to world peace through mutual understanding;3;3;1
3287; but is that really the best way to implement a statewide program crowley thinks it might have all been ok if the tests provided her with the data she needed but it doesnt it will provide politicians a rhetorical stick with with to beat teachers over the headagain;3;24;0
3336; her book one size fits few the folly of educational standards introduced the term standardisto she has maintained a website of resistance since nclb was signed into law in 2002 httpwwwsusanohanianorg;3;6;0
3349; she has over eleven years experience in the traditional classroom and has been an online instructor since 2000 where she has trained thousands of students she has the ability to take difficult or technical concepts and make them easy to understand for her students her students claim that she has a gift for communicating online in a clear concise and personal way and that she is a born teacher who makes her courses interesting and enjoyable;3;3;1
3401; she is an idealistic forward thinker whose personal goal is assist others who are less fortunate than her recently annie shared dinner with her family  mickey and phil  and they started talking about the tax rebate checks annie expressed her outrage over the wasted expenditure of 42 million to simply notify citizens about the program phil said something along the lines of wouldnt it be great if people did something really good with the money after some thought annie suggested how about a donation day;3;6;0
3582; shes been teaching for five years and with civic for four lauren earned her masters in teaching at whitworth university and couldnt be happier with the profession she chose to be apart of she loves working with children and helping them build on their individual strengths;3;3;1
3947; it represents a realistic political simulation through which students explore the world through economic social and ecological crises as well as looming military dangers the goal is for each country to come out of dangerous situations and achieve global prosperity with the least military intervention participants learn to live work and create comfortably in conditions of uncertainty the screening will be followed by a discussion and a demonstration of parts of the game with trained bulgarian facilitators;3;19;0
3977; he has written several books and a collection of short stories old girlfriends will be published in summer 2009 he lives with his wife wambui and son wesley in cambridge massachusetts chat with a librarian now;3;6;0
4003; active for many years in the reform movement in israel she has served for the past seven years as a leader of worship on the high holy days in various communities of the movement over the last seven years smadar has served as a prayer leader and as a shlichat tzibur for the high holy days in congregations of the movement;3;3;1
4047; his practice began in india in 1982 where he met his teacher christopher titmuss he leads the rhinebeck sitting group and several times a year organizes and leads meditation retreats in saugerties ny he is also a biologist who has taught and done research in molecular biology he has published many research papers and two books in the field of biology;3;19;0
4169; they are a non profit group as they do not charge for lessonstim is an advisor with the bruce lee foundation he has written many books and articles and has dvds that are currently for sale now his latest book ischinatown jeet kune do with bob bremerhis websites arewwwjkdwednitecomwwwjkdtalkcomwwwjkdlessonscomwwwphantommacomhe can be reached atthtackettmaccom or thtackettmsncom;3;6;0
4355; he started his teach with picture books in an attempt to share his love of using picture books in the upper elementary classroom since that time hes started two other blogs how to teach a novel and teaching that sticks he leads occasional workshops and inservices and also writes original curriculum and teaching guides such as his recent teaching guide for encyclopedia mythologica gods and heroes candlewick press;3;3;1
4357; a resident of chappaqua she has spent many years in various childrelated and community volunteer positions including mt kisco food pantry chappaqua pta harvey school pa horace greeley scholarship fund chappaqua school foundation and bet torah synagogue;3;3;1
4389; with his wife business partner and fellow yoga instructor  kristine ward  he founded the amana institute in new brunswick canada they are also currently creating a new meditation and yoga retreat center overlooking the beautiful hammond river;3;2;0
4520; his previous books include roosevelts blues african american blues and gospel songs on fdr and the truman and eisenhower blues african american blues and gospel songs 19451960 see less;3;19;0
4529; outside the classroom katie loves writing about all things pretty preppy fresh  fun and enjoys spending time with her boyfriend and golden retriever molly as well as friends  family katie is also a fellow vanderbilt university graduate;3;6;0
4550; ms kerr presents a lesson on the state of missouri and its three branches of government students work in groups and create posters that represent the legislative executive and judicial branches of government the students also voice their concerns about what can be done to improve their lives as a class they then work to understand the process of how a bill becomes a law go to this unit;3;3;1
4678; her love of dogs and people translates into the best combination for teaching the human and training the dog she has a positive and enthusiastic attitude that makes training;3;19;0
4731; her background includes theatre hatha yoga classical indian dance and oriental study her teachings highlight in the integration of spirituality and creativity through the practice of devotion she offers workshops trainings and retreats internationallyhttpwwwsimonayogacom;3;2;0
4759; for the last three years she has been an active collaborator in the interactive journalism institute for middle schoolers httpwwwtcnjeduijims a demonstration project at the college of new jersey funded by the national science foundations broadening participation in computing program cns 073973;3;6;0
4805; from working as a tutor on movie sets to teaching elementary students outside of boston bob knows what it takes to get students excited about science and technology in addition to teaching in a classroom science bob has shared his science wizardry with a national audience on jimmy kimmel live the dr oz show and live with regis  kelly his experiments have also been featured in popular science  family fun and people magazines for more information on science bob as well as experiments and activities visit wwwsciencebobcom ;3;3;1
4835; what started as basic daily schedule pictures drawn for a 3year old became a magnetic schedule of standard returning events kept on the fridge now easy daysies is available to everyone everything is made in canada the magnets are even made from 70 recycled materials;3;20;0
